Day,Address,Area,Price,Beds,Baths,Sqft,Lot,Year built,HOA,Days on market,Status,MLS #,Listing URL,Notes
Sat,12909 Grandstand Way,Fort Worth 76244,559900,5,3.5,3979,"9,148 sqft",2009,$58/mo,31,For sale,21335062,https://www.realtor.com/realestateandhomes-detail/12909-Grandstand-Way_Fort-Worth_TX_76244_M78936-01448,"Price cut $20K; $141/sqft; water view, Saratoga"
Sat,11428 Colonial Trace Ln,Fort Worth 76244,559900,4,3,3291,"7,144 sqft",2022,$39/mo,13,For sale,21366848,https://www.realtor.com/realestateandhomes-detail/11428-Colonial-Trace-Rd_Keller_TX_76244_M96091-71358,Newly listed; $170/sqft
Sat,2824 Stackhouse St,Fort Worth 76244,740000,5,3.5,4286,0.37 acre,2012,$145/mo,36,For sale,21340775,https://www.realtor.com/realestateandhomes-detail/2824-Stackhouse-St_Fort-Worth_TX_76244_M88742-41393,3-car garage; $173/sqft
Sat,10224 Paintbrush Dr,Fort Worth 76244,685000,5,3.5,4431,"8,276 sqft",2007,$62/mo,8,For sale,21368504,https://www.realtor.com/realestateandhomes-detail/10224-Paintbrush-Dr_Fort-Worth_TX_76244_M79510-41899,Newly listed; $155/sqft
Sat,9617 Bowman Dr,Fort Worth 76244,798500,4,3,3184,0.27 acre,2012,$38/mo,69,For sale,21312335,https://www.realtor.com/realestateandhomes-detail/9617-Bowman-Dr_Fort-Worth_TX_76244_M89086-47947,3-car garage; $251/sqft - priciest per sqft; sitting 69 days
Sun,1484 Primrose Pl,Haslet 76052,669900,5,4.5+,3863,"9,453 sqft",2019,$133/mo,29,For sale,21352699,https://www.realtor.com/realestateandhomes-detail/1484-Primrose-Pl_Haslet_TX_76052_M94091-56845,$173/sqft
Sun,1090 Rosecrush Dr,Haslet 76052,614995,5,4,3601,"9,579 sqft",2022,$162/mo,71,For sale,21311282,https://www.realtor.com/realestateandhomes-detail/1090-Rosecrush-Dr_Haslet_TX_76052_M97338-83941,Sitting 71 days; $171/sqft
Sun,794 Brookwood Blvd,Haslet 76052,749900,4,3.5,3295,n/a (Sweetgrass 65' community),,n/a (new build),n/a,For sale,n/a (new construction),https://www.realtor.com/realestateandhomes-detail/794-Brookwood-Blvd_Haslet_TX_76052_M92383-55199,"New construction, Perry Homes; 3-car; $228/sqft"
Sun,2193 Cloverfern Way,Haslet 76052,659900,4,3.5,3151,0.23 acre,2023,$184/mo,36,For sale,21346416,https://www.realtor.com/realestateandhomes-detail/2193-Cloverfern-Way_Haslet_TX_76052_M96119-58590,Highest HOA of the 14; $209/sqft
Sun,2141 Glenbrook St,Haslet 76052,850000,4,3.5,3714,~0.5 acre,2026,n/a (new build),n/a,For sale,n/a (new construction),https://www.realtor.com/realestateandhomes-detail/2141-Glenbrook-St_Haslet_TX_76052_M94011-40787,"New construction, NorthGlen; price cut $25K; biggest lot; $229/sqft"
Mon,9828 Milkweed Ln,Fort Worth 76177,599900,6,4,4565,"6,599 sqft",2017,$30/mo,84,For sale,21300735,https://www.realtor.com/realestateandhomes-detail/9828-Milkweed-Ln_Fort-Worth_TX_76177_M85856-97681,Only 6-bed; best $/sqft at $131; small lot; sitting 84 days
Mon,9833 Saltbrush St,Fort Worth 76177,549900,5,3.5,3756,"9,191 sqft",2014,$30/mo,56,For sale,21319847,https://www.realtor.com/realestateandhomes-detail/9833-Saltbrush-St_Fort-Worth_TX_76177_M74629-29831,Cheapest overall; $146/sqft
Mon,1301 Senita Cactus St,Fort Worth 76177,559900,5,3.5,3836,"9,583 sqft",2013,$30/mo,57,For sale,21310950,https://www.realtor.com/realestateandhomes-detail/1301-Senita-Cactus-St_Fort-Worth_TX_76177_M78180-14650,$146/sqft
Mon,9801 Wexley Way,Fort Worth 76131,620000,4,3,3353,"7,884 sqft",2021,$81/mo,133,CONTINGENT,21246514,https://www.realtor.com/realestateandhomes-detail/9801-Wexley-Way_Fort-Worth_TX_76131_M95961-46930,UNDER CONTRACT (contingent) after 133 days; $185/sqft
